level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1148,1568,-1,
2,1,1,0,0,0,60,70,901,75,-1,
3,1,1,1,0,0,60,70,901,75,-1,
4,1,1,1,1,0,60,70,901,22,-1,
5,1,1,1,1,1,60,71,23,16,96.119415,14
5,1,1,1,1,2,105,71,25,20,91.792763,(a)
5,1,1,1,1,3,151,70,50,17,91.792763,State
5,1,1,1,1,4,208,71,30,16,96.953278,the
5,1,1,1,1,5,246,71,95,16,95.979309,difference
5,1,1,1,1,6,349,71,81,16,96.756584,between
5,1,1,1,1,7,433,66,11,30,96.965843,a
5,1,1,1,1,8,457,71,95,21,96.888000,stationary
5,1,1,1,1,9,559,75,51,12,96.259834,wave
5,1,1,1,1,10,618,71,34,16,96.921165,and
5,1,1,1,1,11,661,75,11,12,96.955299,a
5,1,1,1,1,12,680,71,112,21,96.910408,progressive
5,1,1,1,1,13,800,75,50,12,96.779030,wave
5,1,1,1,1,14,859,71,14,16,96.489532,in
5,1,1,1,1,15,881,72,54,15,96.495979,terms
5,1,1,1,1,16,943,71,18,16,96.920799,of
4,1,1,1,2,0,153,124,388,21,-1,
5,1,1,1,2,1,153,124,19,20,61.012085,(i)
5,1,1,1,2,2,196,124,29,16,82.608299,the
5,1,1,1,2,3,233,128,67,17,96.470474,energy
5,1,1,1,2,4,307,124,75,16,96.794128,transfer
5,1,1,1,2,5,389,124,52,21,96.517830,along
5,1,1,1,2,6,449,124,29,16,96.431236,the
5,1,1,1,2,7,486,128,55,15,96.548950,"wave,"
2,1,2,0,0,0,151,281,481,21,-1,
3,1,2,1,0,0,151,281,481,21,-1,
4,1,2,1,1,0,151,281,481,21,-1,
5,1,2,1,1,1,151,281,25,20,71.324066,(ii)
5,1,2,1,1,2,196,281,29,16,92.019348,the
5,1,2,1,1,3,234,281,58,21,96.090164,phase
5,1,2,1,1,4,300,281,17,16,96.608597,of
5,1,2,1,1,5,324,282,34,15,96.467659,two
5,1,2,1,1,6,365,281,83,21,96.376312,adjacent
5,1,2,1,1,7,455,281,82,21,96.945160,vibrating
5,1,2,1,1,8,546,281,86,21,96.466843,particles.
2,1,3,0,0,0,198,343,863,67,-1,
3,1,3,1,0,0,198,343,863,67,-1,
4,1,3,1,1,0,198,343,863,67,-1,
5,1,3,1,1,1,198,343,863,67,95.000000, 
2,1,4,0,0,0,105,438,952,48,-1,
3,1,4,1,0,0,105,438,952,48,-1,
4,1,4,1,1,0,105,438,952,21,-1,
5,1,4,1,1,1,105,438,26,20,92.171257,(b)
5,1,4,1,1,2,150,438,14,16,92.979980,A
5,1,4,1,1,3,171,438,42,16,92.979980,tube
5,1,4,1,1,4,223,438,14,16,96.216331,is
5,1,4,1,1,5,246,442,47,17,96.926086,open
5,1,4,1,1,6,303,439,18,15,96.721062,at
5,1,4,1,1,7,330,438,40,16,96.886230,both
5,1,4,1,1,8,380,438,52,16,96.277405,ends.
5,1,4,1,1,9,441,438,14,16,96.851547,A
5,1,4,1,1,10,463,438,122,21,96.558945,"loudspeaker,"
5,1,4,1,1,11,596,438,75,21,96.359329,emitting
5,1,4,1,1,12,681,438,58,16,96.782967,sound
5,1,4,1,1,13,749,438,18,16,96.779900,of
5,1,4,1,1,14,775,442,11,12,96.779900,a
5,1,4,1,1,15,795,438,56,21,96.969246,single
5,1,4,1,1,16,860,438,100,21,96.373718,"frequency,"
5,1,4,1,1,17,971,438,14,16,96.253723,is
5,1,4,1,1,18,995,438,62,21,96.253723,placed
4,1,4,1,2,0,151,465,455,21,-1,
5,1,4,1,2,1,151,469,43,12,96.755074,near
5,1,4,1,2,2,201,469,35,12,96.342735,one
5,1,4,1,2,3,244,465,35,16,96.766792,end
5,1,4,1,2,4,288,465,17,16,96.996452,of
5,1,4,1,2,5,312,465,29,16,96.892090,the
5,1,4,1,2,6,349,465,47,19,96.408928,"tube,"
5,1,4,1,2,7,405,469,22,12,96.927856,as
5,1,4,1,2,8,434,465,62,16,95.282425,shown
5,1,4,1,2,9,505,465,15,16,96.523285,in
5,1,4,1,2,10,529,465,33,21,95.137299,Fig.
5,1,4,1,2,11,571,465,35,16,96.770142,3.1.
2,1,5,0,0,0,298,561,693,6,-1,
3,1,5,1,0,0,298,561,693,6,-1,
4,1,5,1,1,0,298,561,693,6,-1,
5,1,5,1,1,1,298,561,693,6,95.000000, 
2,1,6,0,0,0,213,589,38,2,-1,
3,1,6,1,0,0,213,589,38,2,-1,
4,1,6,1,1,0,213,589,38,2,-1,
5,1,6,1,1,1,213,589,38,2,95.000000, 
2,1,7,0,0,0,212,589,4,71,-1,
3,1,7,1,0,0,212,589,4,71,-1,
4,1,7,1,1,0,212,589,4,71,-1,
5,1,7,1,1,1,212,589,4,71,95.000000, 
2,1,8,0,0,0,247,588,4,73,-1,
3,1,8,1,0,0,247,588,4,73,-1,
4,1,8,1,1,0,247,588,4,73,-1,
5,1,8,1,1,1,247,588,4,73,95.000000, 
2,1,9,0,0,0,213,659,38,1,-1,
3,1,9,1,0,0,213,659,38,1,-1,
4,1,9,1,1,0,213,659,38,1,-1,
5,1,9,1,1,1,213,659,38,1,95.000000, 
2,1,10,0,0,0,298,682,694,6,-1,
3,1,10,1,0,0,298,682,694,6,-1,
4,1,10,1,1,0,298,682,694,6,-1,
5,1,10,1,1,1,298,682,694,6,95.000000, 
2,1,11,0,0,0,309,732,671,5,-1,
3,1,11,1,0,0,309,732,671,5,-1,
4,1,11,1,1,0,309,732,671,5,-1,
5,1,11,1,1,1,309,732,671,5,95.000000, 
2,1,12,0,0,0,120,525,878,289,-1,
3,1,12,1,0,0,120,525,878,289,-1,
4,1,12,1,1,0,514,525,42,16,-1,
5,1,12,1,1,1,514,525,42,16,96.782204,tube
4,1,12,1,2,0,287,613,711,29,-1,
