                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5033,                 3.6822,                 4.2757,                0.00986,                0.71053,                0.01399,                0.00528,                 3.5927,                 6.9375,                 2.7712,             0.00025005,             0.00025005,             0.00025005
                      2,                 3.3009,                  3.435,                 4.0708,                0.00978,                0.70246,                0.01418,                 0.0052,                 3.6374,                 6.9923,                 2.7874,             0.00051165,             0.00051165,             0.00051165
                      3,                 3.1139,                 3.2162,                 3.8669,                0.01049,                0.70063,                0.02269,                0.00755,                 3.9477,                 7.6391,                 2.9341,             0.00076798,             0.00076798,             0.00076798
                      4,                 2.8765,                 3.0981,                 3.6082,                0.01338,                0.66071,                0.02134,                0.00737,                 4.3262,                 8.0689,                 3.0976,               0.001019,               0.001019,               0.001019
                      5,                 2.8525,                 3.1082,                 3.4681,                0.01095,                0.70535,                 0.0181,                0.00617,                 3.8968,                 6.6336,                 2.7259,              0.0012648,              0.0012648,              0.0012648
                      6,                 2.6892,                 3.0203,                  3.205,                0.01033,                0.71723,                0.11593,                0.03141,                 3.7284,                 6.2259,                 2.5208,              0.0015053,              0.0015053,              0.0015053
                      7,                 2.5279,                 2.8083,                 3.0241,                0.01064,                0.06934,                0.01257,                0.00431,                 3.8988,                 6.8484,                 2.5948,               0.001568,               0.001568,               0.001568
                      8,                 2.4396,                   2.68,                 2.9291,                0.03275,                0.01828,                0.00855,                0.00299,                 2.4811,                 10.121,                 2.1876,               0.001568,               0.001568,               0.001568
                      9,                 2.2763,                 2.5724,                 2.8072,                0.53618,                0.01371,                0.00767,                0.00396,                 2.1545,                  7.619,                 1.9693,              0.0015515,              0.0015515,              0.0015515
                     10,                 2.1895,                 2.6481,                 2.6778,                0.56447,                0.02285,                 0.0178,                0.00837,                 1.9096,                 20.977,                 2.0453,               0.001535,               0.001535,               0.001535
                     11,                 2.1011,                  2.408,                 2.5924,                0.04849,                0.02834,                0.02044,                0.01034,                 1.8896,                 5.2946,                 1.7351,              0.0015185,              0.0015185,              0.0015185
                     12,                 2.1191,                   2.55,                 2.5956,                0.09907,                0.02088,                0.01932,                0.00896,                 2.1281,                 5.2791,                 1.7775,               0.001502,               0.001502,               0.001502
                     13,                 1.9427,                 2.3729,                 2.4146,                  0.608,                0.01737,                0.01818,                0.00902,                  1.926,                 4.9767,                 1.7341,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.9118,                 2.2905,                 2.3851,                0.57281,                0.04845,                0.03102,                0.01133,                 2.3577,                 6.8166,                  2.052,               0.001469,               0.001469,               0.001469
                     15,                 1.8469,                 2.2869,                 2.3225,                0.10038,                0.06512,                0.02858,                0.01185,                 2.1065,                 6.1141,                  1.817,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8286,                 2.2174,                 2.3063,                0.09905,                0.06354,                0.03134,                0.01693,                 1.8785,                 6.2966,                 1.6934,               0.001436,               0.001436,               0.001436
                     17,                 1.7048,                 2.1037,                 2.2296,                0.59535,                0.02742,                0.02506,                0.01173,                 2.0109,                 5.9752,                 1.9182,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.8401,                  2.214,                 2.2391,                0.63202,                0.03016,                 0.0285,                0.01507,                 1.6567,                 4.6287,                 1.5502,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.6967,                 2.1918,                 2.1332,                0.64785,                0.02834,                0.03127,                0.01565,                 1.7485,                 4.7013,                 1.6034,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.7378,                 2.1237,                 2.1833,                 0.1236,                0.03473,                0.03271,                0.01599,                 1.6696,                 3.9966,                 1.4992,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.7638,                  2.076,                 2.2074,                0.17181,                 0.0419,                0.02548,                0.01258,                 1.5566,                 5.1314,                  1.486,              0.0013534,              0.0013534,              0.0013534
                     22,                  1.661,                 2.0462,                 2.1374,                0.06118,                0.03199,                 0.0148,                0.00798,                 1.5255,                 4.7468,                 1.5188,              0.0013369,              0.0013369,              0.0013369
                     23,                  1.535,                  2.032,                 2.0816,                0.18391,                0.04541,                0.03699,                0.01855,                 1.4407,                 3.9713,                 1.3995,              0.0013204,              0.0013204,              0.0013204
                     24,                 1.5804,                 1.9073,                 2.0813,                0.27985,                0.04266,                0.03788,                 0.0198,                 1.5042,                 3.7494,                 1.4436,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.6477,                 2.0611,                 2.1763,                0.14663,                0.02845,                0.02646,                0.01397,                 1.4392,                 3.7409,                 1.4105,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.5344,                 1.8733,                 1.9821,                 0.1558,                0.02925,                0.02957,                 0.0157,                 1.4506,                 3.3706,                 1.4061,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.4818,                 1.8176,                 1.9478,                0.62987,                0.02377,                0.02202,                0.01085,                 1.4036,                 3.6345,                 1.3949,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.5017,                 1.7959,                 2.0119,                0.19761,                0.03459,                0.03711,                0.01898,                 1.3257,                 3.0496,                 1.3901,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.4004,                 1.8023,                 1.9486,                0.17457,                0.02285,                0.02808,                0.01423,                 1.3562,                 3.3665,                 1.3842,              0.0012214,              0.0012214,              0.0012214
                     30,                  1.446,                 1.7238,                 1.9503,                0.21235,                0.03002,                0.03511,                0.01819,                 1.5721,                 3.4806,                 1.5158,              0.0012049,              0.0012049,              0.0012049
                     31,                  1.375,                 1.7517,                 1.9225,                0.16182,                 0.0163,                0.02508,                0.01271,                 2.4086,                 4.8361,                 1.9906,              0.0011884,              0.0011884,              0.0011884
                     32,                  1.386,                 1.6454,                 1.9066,                0.12371,                0.02102,                0.02722,                0.01351,                 2.0805,                 4.1994,                 1.8283,              0.0011719,              0.0011719,              0.0011719
                     33,                 1.3612,                 1.6339,                 1.8912,                0.59977,                0.01463,                0.01403,                0.00723,                 1.9975,                 4.7486,                 1.9296,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.3273,                 1.6044,                  1.864,                0.04517,                0.02651,                0.03776,                0.02101,                 1.6385,                 3.6581,                 1.6079,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.2806,                  1.528,                 1.8264,                 0.3691,                0.03002,                0.05021,                0.03295,                 1.2226,                 2.5536,                 1.2317,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.3186,                 1.4804,                 1.8166,                0.03359,                0.02377,                0.02663,                0.01426,                 1.8034,                 4.7028,                 1.5789,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.3098,                 1.5369,                 1.7808,                0.12385,                0.02377,                 0.0278,                 0.0157,                 1.2928,                  3.584,                 1.3172,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.237,                  1.457,                 1.7345,                0.21031,                0.03184,                0.04223,                0.02657,                 1.0846,                 2.6755,                 1.1451,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.167,                  1.386,                 1.7079,                0.29105,                0.02285,                0.04675,                 0.0323,                 1.0815,                 2.3255,                 1.1355,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2237,                 1.4107,                 1.7055,                0.38612,                0.02651,                0.04348,                0.03328,                0.96055,                 2.0891,                 1.0599,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.1562,                 1.3073,                 1.7008,                0.44726,                0.03459,                0.04945,                0.03578,                0.93344,                 2.2313,                 1.0455,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.1901,                 1.3731,                 1.7018,                0.25913,                0.04266,                0.04201,                0.02692,                 1.1173,                  2.447,                 1.1511,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1636,                 1.3281,                 1.6792,                0.05628,                0.02819,                0.03762,                0.02142,                 2.2096,                  5.353,                 1.9578,             0.00099036,             0.00099036,             0.00099036
                     44,                 1.0742,                 1.2298,                 1.5917,                0.35878,                 0.0291,                0.04831,                0.02574,                 1.9262,                  3.906,                  1.792,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0854,                 1.2326,                 1.5865,                0.31754,                0.04617,                0.05396,                0.03661,                 0.9503,                 2.1337,                 1.0714,             0.00095736,             0.00095736,             0.00095736
                     46,                  1.117,                 1.2594,                 1.5868,                0.70264,                0.05059,                0.07164,                0.04565,                 1.0119,                 2.2868,                  1.094,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.0917,                 1.2331,                 1.6071,                0.03124,                 0.0355,                0.03111,                0.01525,                 2.2043,                 5.0317,                 2.1011,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0465,                 1.1708,                  1.564,                0.44846,                0.03367,                0.05731,                0.04363,                0.87149,                 2.0341,                  1.011,             0.00090785,             0.00090785,             0.00090785
                     49,                 1.0391,                 1.1818,                 1.5625,                0.30934,                0.03108,                0.04828,                 0.0377,                 1.0393,                 2.4456,                 1.1339,             0.00089134,             0.00089134,             0.00089134
                     50,                0.99851,                 1.1138,                 1.5294,                0.32571,                0.04891,                0.06239,                 0.0425,                0.86925,                 1.9461,                0.99402,             0.00087484,             0.00087484,             0.00087484
                     51,                  1.033,                 1.1787,                 1.5518,                 0.2813,                0.04906,                0.06088,                 0.0476,                0.90859,                 1.9453,                 1.0402,             0.00085834,             0.00085834,             0.00085834
                     52,                0.99383,                  1.131,                 1.5232,                 0.5782,                0.06332,                0.08559,                0.05585,                0.86373,                 1.8363,                0.98683,             0.00084184,             0.00084184,             0.00084184
                     53,                0.98359,                 1.0713,                 1.4686,                0.53272,                0.04891,                0.06928,                0.04809,                0.88754,                 1.7205,                0.96523,             0.00082533,             0.00082533,             0.00082533
                     54,                0.96397,                 1.0914,                 1.4916,                0.40383,                0.05348,                0.07231,                0.05292,                0.80054,                 1.5819,                0.92087,             0.00080883,             0.00080883,             0.00080883
                     55,                0.98816,                 1.0694,                 1.4978,                0.61861,                0.06966,                0.10056,                0.07777,                0.79101,                 1.6729,                0.93027,             0.00079233,             0.00079233,             0.00079233
                     56,                0.94711,                 1.0691,                 1.4683,                0.34287,                0.04175,                0.06785,                0.04868,                0.83151,                 1.8533,                 0.9741,             0.00077582,             0.00077582,             0.00077582
                     57,                0.92475,                 1.1043,                 1.4807,                0.35497,                0.03929,                0.04906,                0.02417,                 1.7854,                 3.6368,                 1.6573,             0.00075932,             0.00075932,             0.00075932
                     58,                0.95636,                 1.0942,                 1.4974,                0.46856,                  0.048,                0.08038,                0.05538,                 1.0053,                 2.2561,                 1.0804,             0.00074282,             0.00074282,             0.00074282
                     59,                0.93968,                  1.039,                 1.4485,                0.77513,                0.03016,                0.05033,                0.04099,                0.85956,                 1.8281,                0.98229,             0.00072631,             0.00072631,             0.00072631
                     60,                0.89768,                0.97819,                  1.412,                0.36095,                0.02742,                0.05583,                0.04634,                0.81701,                 1.6696,                0.94051,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0039,                 1.2456,                 1.5399,                0.36193,                0.08412,                0.10407,                0.07612,                0.85719,                 1.9629,                0.98965,             0.00069331,             0.00069331,             0.00069331
                     62,                0.99692,                  1.264,                 1.4436,                0.89821,                0.03382,                0.06283,                0.05376,                0.85879,                 2.2758,                0.99094,              0.0006768,              0.0006768,              0.0006768
                     63,                0.94538,                 1.0994,                 1.4903,                0.58937,                0.04815,                0.07432,                0.05345,                 1.0327,                 2.0559,                 1.0725,              0.0006603,              0.0006603,              0.0006603
                     64,                  0.901,                0.98279,                  1.416,                0.47088,                0.04815,                0.07534,                0.05533,                0.89726,                 1.9209,                  1.003,              0.0006438,              0.0006438,              0.0006438
                     65,                0.88641,                0.98775,                 1.4334,                 0.4663,                0.06141,                0.08723,                0.06152,                0.74927,                 1.5387,                0.89256,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.0202,                 1.1653,                 1.5146,                0.42557,                0.04906,                 0.0869,                 0.0632,                0.82469,                 1.5119,                0.91725,             0.00061079,             0.00061079,             0.00061079
                     67,                0.84145,                 0.8973,                 1.3787,                0.75459,                0.06598,                0.10157,                0.06991,                0.71393,                 1.3832,                0.88529,             0.00059429,             0.00059429,             0.00059429
                     68,                0.87096,                 0.9221,                 1.3908,                0.35515,                0.07542,                 0.0884,                0.05898,                  1.235,                 2.2609,                 1.2232,             0.00057778,             0.00057778,             0.00057778
                     69,                0.84039,                  0.895,                 1.3733,                  0.553,                0.06873,                0.10603,                0.07105,                0.78525,                 1.4768,                0.90746,             0.00056128,             0.00056128,             0.00056128
                     70,                0.83248,                0.89742,                  1.383,                0.58629,                0.09311,                0.13123,                0.09452,                0.76514,                 1.3884,                0.90331,             0.00054478,             0.00054478,             0.00054478
                     71,                0.81086,                0.90287,                 1.3451,                0.63723,                0.05897,                0.09919,                0.07707,                  0.737,                 1.4058,                0.91125,             0.00052827,             0.00052827,             0.00052827
                     72,                0.79884,                 0.8126,                 1.3248,                0.87335,                0.06705,                0.11995,                0.09121,                0.72585,                 1.3969,                0.88306,             0.00051177,             0.00051177,             0.00051177
                     73,                0.86529,                0.88635,                 1.3733,                0.78741,                0.07498,                0.12903,                0.09299,                0.70167,                 1.2751,                0.85881,             0.00049527,             0.00049527,             0.00049527
                     74,                0.83758,                0.86698,                 1.3795,                0.70663,                0.05652,                0.09986,                0.08511,                0.67841,                 1.2785,                0.84604,             0.00047876,             0.00047876,             0.00047876
                     75,                0.83568,                0.88568,                 1.3704,                0.75617,                 0.0707,                0.12002,                0.08993,                0.73817,                 1.3534,                0.88367,             0.00046226,             0.00046226,             0.00046226
                     76,                0.87288,                0.99464,                 1.3684,                0.69091,                0.10316,                0.14794,                0.10542,                0.69356,                 1.3381,                0.85936,             0.00044576,             0.00044576,             0.00044576
                     77,                0.78784,                0.82426,                 1.3246,                0.62271,                0.07504,                0.12823,                0.09707,                0.67119,                 1.2003,                 0.8461,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.7574,                0.81436,                 1.2906,                0.64279,                0.07772,                0.13063,                0.09919,                0.66384,                 1.2266,                0.83116,             0.00041275,             0.00041275,             0.00041275
                     79,                  0.802,                0.83183,                 1.3037,                0.59113,                0.13045,                0.16755,                0.12001,                0.70418,                 1.3131,                0.85573,             0.00039625,             0.00039625,             0.00039625
                     80,                0.83013,                0.83949,                 1.3394,                0.67773,                0.12831,                0.18274,                0.13258,                0.65649,                 1.1999,                0.83343,             0.00037974,             0.00037974,             0.00037974
                     81,                0.77242,                0.84175,                 1.3026,                0.57729,                0.12697,                0.17442,                0.13163,                0.67578,                 1.1833,                0.84679,             0.00036324,             0.00036324,             0.00036324
                     82,                0.78708,                0.79381,                 1.3391,                0.56844,                 0.1186,                0.15692,                0.11844,                0.68094,                 1.2313,                0.86184,             0.00034674,             0.00034674,             0.00034674
                     83,                0.76227,                0.75813,                 1.3038,                0.56753,                0.11095,                0.14895,                0.11016,                0.70637,                 1.1843,                0.86381,             0.00033023,             0.00033023,             0.00033023
                     84,                0.81742,                0.82693,                 1.3401,                0.64127,                0.10759,                0.15037,                0.11386,                0.63604,                 1.1758,                0.81881,             0.00031373,             0.00031373,             0.00031373
                     85,                0.83579,                0.85921,                 1.3696,                0.58908,                0.10835,                0.14561,                0.10432,                0.65339,                  1.264,                0.84049,             0.00029723,             0.00029723,             0.00029723
                     86,                0.76956,                0.76288,                 1.2839,                0.72934,                0.11505,                0.15757,                0.11491,                0.66357,                 1.2483,                0.84608,             0.00028072,             0.00028072,             0.00028072
                     87,                0.74591,                0.72767,                 1.2937,                0.61145,                0.07908,                0.14749,                0.12008,                0.65119,                 1.1084,                0.82733,             0.00026422,             0.00026422,             0.00026422
                     88,                 0.7489,                0.74208,                 1.2874,                0.82116,                0.12678,                0.18958,                0.15134,                0.65573,                 1.1516,                0.82731,             0.00024772,             0.00024772,             0.00024772
                     89,                0.74054,                0.75251,                 1.2724,                0.86074,                0.12938,                0.18739,                0.14291,                0.63935,                 1.0894,                0.82261,             0.00023121,             0.00023121,             0.00023121
                     90,                0.79014,                0.73212,                 1.3162,                0.83002,                0.12542,                  0.181,                0.13192,                0.64407,                  1.158,                0.83148,             0.00021471,             0.00021471,             0.00021471
                     91,                0.74821,                0.85678,                 1.2446,                0.87009,                0.05195,                0.11222,                 0.0899,                0.67344,                 1.2849,                0.84814,             0.00019821,             0.00019821,             0.00019821
                     92,                 0.7559,                0.76759,                 1.2486,                0.57079,                0.17052,                0.19888,                0.14805,                0.71914,                 1.5596,                0.86486,              0.0001817,              0.0001817,              0.0001817
                     93,                0.79204,                0.85759,                 1.3193,                0.34166,                0.07527,                0.08466,                0.05885,                 1.1915,                 2.6816,                 1.1616,              0.0001652,              0.0001652,              0.0001652
                     94,                0.69264,                0.81862,                 1.2034,                0.78074,                0.09874,                0.14262,                0.11391,                0.63735,                 1.1796,                0.80975,              0.0001487,              0.0001487,              0.0001487
                     95,                0.73684,                0.71037,                 1.2063,                0.53169,                0.09158,                0.11622,                0.08652,                0.64632,                 1.2662,                0.82284,             0.00013219,             0.00013219,             0.00013219
                     96,                0.69188,                  0.666,                 1.2233,                 0.5844,                0.10956,                0.14245,                0.10809,                0.63671,                 1.3092,                0.81356,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.7923,                0.73107,                 1.2252,                0.62122,                0.12191,                  0.152,                0.11002,                0.61639,                 1.1677,                0.79586,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.69839,                0.66527,                 1.2043,                0.74398,                0.10408,                0.15681,                0.11686,                0.60114,                 1.1194,                0.78718,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.62978,                0.64644,                 1.1616,                0.74543,                0.14447,                0.18277,                0.13526,                0.59594,                 1.0949,                 0.7847,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.69065,                0.66088,                 1.2073,                0.64549,                0.13943,                0.18226,                0.14201,                0.59314,                  1.074,                0.78059,             4.9677e-05,             4.9677e-05,             4.9677e-05
