                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4412,                  3.734,                 4.3036,                0.00467,                0.73521,                0.01235,                0.00514,                 3.6187,                   6.93,                 2.7713,             0.00011669,             0.00011669,             0.00011669
                      2,                 3.4325,                 3.5684,                  4.229,                0.00986,                0.70428,                0.01589,                0.00591,                 3.6247,                 6.9546,                 2.7721,             0.00024757,             0.00024757,             0.00024757
                      3,                 3.2499,                 3.3444,                 4.0654,                0.00993,                0.71602,                0.01499,                0.00531,                   3.65,                 6.9594,                 2.7826,             0.00037582,             0.00037582,             0.00037582
                      4,                 3.1442,                 3.1708,                   3.85,                 0.0099,                0.71145,                 0.0174,                 0.0058,                 3.7384,                 7.1203,                 2.8254,             0.00050142,             0.00050142,             0.00050142
                      5,                 3.0171,                 3.1078,                 3.6641,                0.00978,                0.69621,                0.02132,                0.00705,                 3.9753,                 7.5162,                 2.9382,             0.00062438,             0.00062438,             0.00062438
                      6,                 2.8598,                 3.0174,                 3.4515,                0.01266,                0.66071,                0.02049,                0.00682,                 4.4017,                 7.9136,                 3.1125,             0.00074471,             0.00074471,             0.00074471
                      7,                 2.7266,                 2.9398,                 3.2955,                0.01072,                0.69164,                 0.0172,                0.00634,                  4.272,                 7.4672,                 3.1025,             0.00086239,             0.00086239,             0.00086239
                      8,                  2.569,                 2.7987,                 3.1524,                 0.0108,                0.67793,                0.02276,                 0.0081,                 4.2848,                 7.3495,                 3.0897,             0.00097743,             0.00097743,             0.00097743
                      9,                   2.41,                 2.7246,                 3.0514,                0.01333,                0.69164,                0.02489,                0.00797,                 4.4857,                 7.3505,                 3.2216,              0.0010898,              0.0010898,              0.0010898
                     10,                 2.2786,                 2.6006,                 2.8523,                0.00418,                0.70443,                0.01665,                0.00504,                 4.3143,                  7.235,                 2.9402,              0.0011996,              0.0011996,              0.0011996
                     11,                 2.2018,                 2.4761,                 2.7735,                0.01161,                0.72714,                0.01708,                0.00488,                 3.5837,                 7.3562,                 2.8119,              0.0013067,              0.0013067,              0.0013067
                     12,                 2.1076,                  2.461,                 2.6694,                0.00604,                 0.7116,                0.01648,                 0.0051,                 3.5818,                 7.0145,                 2.7407,              0.0014112,              0.0014112,              0.0014112
                     13,                 1.9754,                 2.3908,                 2.5052,                0.00746,                0.03703,                0.00392,                0.00125,                 3.5431,                  12.68,                 2.8956,               0.001469,               0.001469,               0.001469
                     14,                 1.8823,                 2.2765,                 2.4196,                 0.0314,                0.08486,                0.02393,                0.00642,                 3.3279,                 6.3458,                 2.6456,               0.001469,               0.001469,               0.001469
                     15,                 1.9237,                  2.295,                 2.4036,                0.14151,                0.40982,                0.21162,                0.07607,                 2.2107,                 5.0555,                 1.9749,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.8541,                 2.2987,                 2.3315,                0.33128,                0.40248,                0.25391,                0.10593,                 2.1313,                  6.513,                 1.7798,               0.001436,               0.001436,               0.001436
                     17,                 1.7415,                 2.1179,                 2.2456,                 0.1501,                0.46748,                 0.2217,                0.09369,                 2.0922,                 7.2594,                 1.8442,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.6857,                  2.113,                 2.2358,                0.29523,                0.31736,                 0.2477,                0.09578,                 2.0053,                 6.0702,                 1.8668,              0.0014029,              0.0014029,              0.0014029
                     19,                  1.611,                 1.9913,                 2.1656,                0.56312,                0.19104,                0.04966,                 0.0177,                  1.986,                 8.5856,                 1.8164,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.5555,                 1.8975,                 2.0889,                0.57605,                0.07404,                0.05544,                0.01673,                 2.4817,                 6.2329,                 2.0976,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.6296,                 1.9626,                  2.124,                0.68514,                0.21024,                0.16561,                0.07077,                 1.7784,                 6.6027,                 1.6584,              0.0013534,              0.0013534,              0.0013534
                     22,                  1.505,                 1.8373,                 2.0332,                0.36479,                0.31371,                0.23933,                0.09303,                 1.8292,                 6.1934,                 1.6677,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.5404,                 1.8482,                 2.0479,                0.28192,                0.31955,                0.26044,                0.11289,                 1.9929,                 4.8083,                 1.7006,              0.0013204,              0.0013204,              0.0013204
